
2025-12-30 16:56:45,903 [1] INFO  IEC61850_simulatorServer2.MainClass [34] - [Program] 应用启动，log4net 配置已尝试加载 
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:50,837 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc30: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:50,889 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param3: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:50,891 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc31: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:50,942 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc34: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:50,972 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc32: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:50,973 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param4: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,012 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc33: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,036 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param8: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,064 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc35: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,092 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param9: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,140 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc36: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,189 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param10: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,239 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc37: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,288 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param15: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,350 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc43: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,381 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param16: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,384 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc53: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,386 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param17: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,389 [6] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc45: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,391 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param18: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,394 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param19: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,396 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param20: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,399 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param21: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,401 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param31: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,403 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param32: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,405 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param33: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,407 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param34: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,432 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param35: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,458 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param36: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,487 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param37: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,511 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param38: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,515 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param39: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,539 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param40: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,566 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param41: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,569 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param42: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,618 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param43: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,647 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param44: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,673 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param45: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,676 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param46: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,678 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param47: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,680 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param48: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:51,681 [10] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for param49: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,051 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc6: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,078 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc7: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,106 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc8: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,133 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc9: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,136 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc10: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,138 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc11: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,140 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc12: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,143 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc20: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,199 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc21: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,257 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc22: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,311 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc23: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/Protocol/ModbusSlave.cs:line 199 

2025-12-30 16:56:52,338 [12] WARN  IEC61850_simulatorServer2.ModbusSlave [199] - Scale apply failed for yc24: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
